A00	COLERA
K60	FISURA Y FISTULA DE LAS REGIONES ANAL Y RECTAL
K61	ABSCESO DE LAS REGIONES ANAL Y RECTAL
K62	OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
K63	OTRAS ENFERMEDADES DE LOS INTESTINOS
K65	PERITONITIS
K66	OTROS TRASTORNOS DEL PERITONEO
K67*	TRASTORNOS DEL PERITONEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K70	ENFERMEDAD ALCOHOLICA DEL HIGADO
K71	ENFERMEDAD TOXICA DEL HIGADO
K72	INSUFICIENCIA HEPATICA NO CLASIFICADAS EN OTRA PARTE
K73	HEPATITIS CRONICA NO CLASIFICADAS EN OTRA PARTE
K74	FIBROSIS Y CIRROSIS DEL HIGADO
K75	OTRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO
K76	OTRAS ENFERMEDADES DEL HIGADO
K77*	TRASTORNOS DEL HIGADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K80	COLELITIASIS
K81	COLECISTITIS
K82	OTRAS ENFERMEDADES DE LA VESICULA BILIAR
K83	OTRAS ENFERMEDADES DE LAS VIAS BILIARES
K85	PANCREATITIS AGUDA
K86	OTRAS ENFERMEDADES DEL PANCREAS
K87*	TRASTORNOS DE LA VESICULA BILIAR, DE LAS VIAS BILIARES Y DEL PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K90	MALABSORCION INTESTINAL
K91	TRASTORNOS DEL SISTEMA DIGESTIVO, CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
K92	OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO
K93*	TRASTORNOS DE OTROS ORGANOS DIGESTIVOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L00	SINDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA
L01	IMPETIGO
L02	ABSCESO CUTANEO, FURUNCULO Y ANTRAX
L03	CELULITIS
L04	LINFADENITIS AGUDA
L05	QUISTE PILONIDAL
L08	OTRAS INFECCIONES LOCALES PIEL Y TEJIDO SUBCUTANEO
L10	PENFIGO
L11	OTROS TRASTORNOS ACANTOLITICOS
L12	PENFIGOIDE
L13	OTROS TRASTORNOS FLICTENULARES
L14*	TRASTORNOS FLICTENULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L20	DERMATITIS ATOPICA
L21	DERMATITIS SEBORREICA
L22	DERMATITIS DEL PANAL
L23	DERMATITIS ALERGICA DE CONTACTO
L24	DERMATITIS DE CONTACTO POR IRRITANTES
L25	DERMATITIS DE CONTACTO FORMA NO ESPECIFICADA
L26	DERMATITIS EXFOLIATIVA
L27	DERMATITIS DEBIDA A SUSTANCIAS INGERIDAS
L28	LIQUEN SIMPLE CRONICO Y PRURIGO
L29	PRURITO
L30	OTRAS DERMATITIS
L40	PSORIASIS
L41	PARAPSORIASIS
L42	PITIRIASIS ROSADA
L43	LIQUEN PLANO
L44	OTROS TRASTORNOS PAPULOESCAMOSOS
L45*	TRASTORNOS PAPULOESCAMOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L50	URTICARIA
L51	ERITEMA MULTIFORME
L52	ERITEMA NUDOSO
L53	OTRAS AFECCIONES ERITEMATOSAS
L54*	ERITEMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L55	QUEMADURA SOLAR
L56	OTROS CAMBIOS AGUDOS DE LA PIEL, DEBIDOS A RADIACION ULTRAVIOLETA
L57	CAMBIOS AGUDOS DE LA PIEL, DEBIDOS A EXPOSICION CRONICA A RADIACION NO IONIZANTE
L58	RADIODERMATITIS
L59	OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO RELACIONADOS CON RADIACION
L60	TRASTORNOS DE LAS UÑAS
L62*	TRASTORNOS UÑAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L63	ALOPECIA AREATA
L64	ALOPECIA ANDROGENA
L65	OTRA PERDIDA NO CICATRICIAL DEL PELO
L66	ALOPECIA CICATRICIAL [PERDIDA CICATRICIAL DEL PELO]
L67	ANORMALIDADES DEL TALLO Y DEL COLOR DEL PELO
L68	HIPERTRICOSIS
L70	ACNE
L71	ROSACEA
L72	QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO SUBCUTANEO
L73	OTROS TRASTORNOS FOLICULARES
L74	TRASTORNOS SUDORIPAROS ECRINOS
L75	TRASTORNOS SUDORIPAROS APOCRINOS
L80	VITILIGO
L81	OTROS TRASTORNOS DE LA PIGMENTACION
L82	QUERATOSIS SEBORREICA
L83	ACANTOSIS NIGRICANS
L84	CALLOS Y CALLOSIDADES
L85	OTROS TIPOS DE ENGROSAMIENTO EPIDERMICO
L86*	QUERATODERMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L87	TRASTORNOS DE LA ELIMINACION TRANSEPIDERMICA
L88	PIODERMA GANGRENOSO
L89	ULCERA DE DECUBITO
L90	TRASTORNOS ATROFICOS DE LA PIEL
L91	TRASTORNOS HIPERTROFICOS DE LA PIEL
L92	TRASTORNOS GRANULOMATOSOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO
L93	LUPUS ERITEMATOSO
L94	OTROS TRASTORNOS LOCALIZADOS DEL TEJIDO CONJUNTIVO
L95	VASCULITIS LIMITADA A LA PIEL NO CLASIFICADAS EN OTRA PARTE
L97	ULCERA DEL MIEMBRO INFERIOR NO CLASIFICADA EN OTRA PARTE
L98	OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO NO CLASIFICADOS EN OTRA PARTE
L99*	OTROS TRASTORNOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M00	ARTRITIS PIOGENA
M01*	INFECCIONES DIRECTAS DE LA ARTICULACION EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
M02	ARTROPATIAS REACTIVAS
M03*	ARTROPATIAS POSTINFECCIOSAS Y REACTIVAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M05	ARTRITIS REUMATOIDE SEROPOSITIVA
M06	OTRAS ARTRITIS REUMATOIDES
M07*	ARTROPATIAS PSORIASICAS Y ENTEROPATICAS
M08	ARTRITIS JUVENIL
M09*	ARTRITIS JUVENIL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M10	GOTA
M11	OTRAS ARTROPATIAS POR CRISTALES
M12	OTRAS ARTROPATIAS ESPECIFICAS
M13	OTRAS ARTRITIS
M14*	ARTROPATIA EN ENFERMEDADES CLASIFICADAS EN EN OTRA PARTE
M15	POLIARTROSIS
M16	COXARTROSIS
M17	GONARTROSIS
M18	ARTROS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA
M19	OTRAS ARTROSIS
M20	DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DE LA MANO Y DEL PIE
M21	OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS
M22	TRASTORNOS DE LA ROTULA
M23	TRASTORNO INTERNO DE LA RODILLA
M24	OTROS TRASTORNOS ARTICULARES ESPECIFICOS
M25	OTROS TRASTORNOS ARTICULARES NO CLASIFICADAS EN OTRA PARTE
M30	POLIARTRITIS NUDOSA Y AFECCIONES RELACIONADAS
M31	OTRAS VASCULOPATIAS NECROTIZANTES
M32	LUPUS ERITEMATOSO SISTEMICO
M33	DERMATOPOLIMIOSITIS
M34	ESCLEROSIS SISTEMICA
M35	OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO
M36*	TRASTORNOS SISTEMICOS DEL TEJIDO CONJUNTIVO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M40	CIFOSIS Y LORDOSIS
M41	ESCOLIOSIS
M42	OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL
M43	OTRAS DORSOPATIAS DEFORMANTES
M45	ESPONDILITIS ANQUILOSANTE
M46	OTRAS ESPONDILOPATIAS INFLAMATORIAS
M47	ESPONDILOSIS
M48	OTRAS ESPONDILOPATIAS
M49*	ESPONDILOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M50	TRASTORNOS DEL DISCO CERVICAL
M51	OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES
M53	OTRAS DORSOPATIAS NO CLASIFICADAS EN OTRA PARTE
M54	DORSALGIA
M60	MIOSITIS
M61	CALCIFICACION Y OSIFICACION DEL MUSCULO
M62	OTROS TRASTORNOS DE LOS MUSCULOS
M63*	TRASTORNOS DE LOS MUSCULOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M65	SINOVITIS Y TENOSINOVITIS
M66	RUPTURA ESPONTANEA DE LA SINOVIA Y DEL TENDON
M67	OTROS TRASTORNOS DE LA SINOVIA Y TENDON
M68*	TRASTORNOS DE LA SINOVIA Y DEL TENDON DEL ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M70	TRASTORNOS DEL TEJIDO BLANDO RELACIONADOS CON EL USO, EL USO EXCESIVO Y LA PRESION
M71	OTRAS BURSOPATIAS
M72	TRASTORNOS FIBROBLASTICOS
M73	TRASTORNOS DEL TEJIDO BLANDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M75	LESIONES DEL HOMBRO
M76	ENTESOPATIAS DEL MIEMBRO INFERIOR EXCLUIDO EL PIE
M77	OTRAS ENTESOPATIAS
M79	OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS NO CLASIFICADOS EN OTRA PARTE
M80	OSTEOPOROSIS CON FRACTURA PATOLOGICA
M81	OSTEOPOROSIS SIN FRACTURA PATOLOGICA
M82*	OSTEOPOROSIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M83	OSTEOMALACIA DEL ADULTO
M84	TRASTORNOS DE LA CONTINUIDAD DEL HUESO
M85	OTROS TRASTORNOS DE LA DENSIDAD Y DE LA ESTRUCTURA OSEAS
M86	OSTEOMIELITIS
M87	OSTEONECROSIS
M88	ENFERMEDADES DE PAGET DE LOS HUESOS [OSTEITIS DEFORMANTE]
M89	OTROS TRASTORNOS DEL HUESO
M90*	OSTEOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M91	OSTEOCONDROSIS JUVENIL DE LA CADERA Y DE LA PELVIS
M92	OTRAS OSTEOCONDROSIS JUVENILES
M93	OTRAS OSTEOCONDROPATIAS
M94	OTROS TRASTORNOS DEL CARTILAGO
M95	OTRAS DEFORMIDADES ADQUIRIDAS DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO
M96	TRASTORNOS OSTEOMUSCULARES CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
M99	LESIONES BIOMECANICAS NO CLASIFICADAS EN OTRA PARTE
N00	SINDROME NEFRITICO AGUDO
N01	SINDROME NEFRITICO RAPIDAMENTE PROGRESIVO
N02	HEMATURIA RECURRENTE Y PERSISTENTE
N03	SINDROME NEFRITICO CRONICO
N04	SINDROME NEFROTICO
N05	SINDROME NEFRITICO NO ESPECIFICADO
N06	PROTEINURIA AISLADA CON LESION MORFOLOGICA ESPECADA
N07	NEFROPATIA HEREDITARIA NO CLASIFICADA EN OTRA PARTE
N08*	TRASTORNOS GLOMERULARES EN ENFERMEDADES CLASIFICADAS OTRA PARTE
N10	NEFRITIS TUBULOINTERSTICIAL AGUDA
N11	NEFRITIS TUBULOINTERSTICIAL CRONICA
N12	NEFRITIS TUBULOINTERST NO ESPECIFICADA COMO AGUDA O CRONICA
N13	UROPATIA OBSTRUCTIVA Y POR REFLUJO
N14	AFECCIONES TUBULARES Y TUBULOINTERSTICIALES INDUCIDAS POR DROGAS Y POR METALES PESADOS
N15	OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES
N16*	TRASTORNOS RENALES TUBULOINTERSTICIALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N17	INSUFICIENCIA RENAL AGUDA
N18	INSUFICIENCIA RENAL CRONICA
N19	INSUFICIENCIA RENAL NO ESPECIFICADA
N20	CALCULO DEL RINON Y DEL URETER
N21	CALCULO DE LAS VIAS URINARIAS INFERIORES
N22*	CALCULO DE LAS VIAS URINARIAS EN ENFERMEDADES CLASIFICADAS OTRA PARTE
N23	COLICO RENAL NO ESPECIFICADO
N25	TRASTORNOS RESULTANTES DE LA FUNCION TUBULAR RENAL ALTERADA
N26	RINON CONTRAIDO NO ESPECIFICADO
N27	RINON PEQUENO DE CAUSA DESCONOCIDA
N28	OTROS TRASTORNOS DEL RINON Y DEL URETER NO CLASIFICADAS EN OTRA PARTE
N29*	OTROS TRASTORNOS DEL RINON Y DEL URETER EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N30	CISTITIS
N31	DISFUNCION NEUROMUSCULAR DE VEJIGA NO CLASIFICADA EN OTRA PARTE
N32	OTROS TRASTORNOS DE LA VEJIGA
N33*	TRASTORNOS VEJIGA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N34	URETRITIS Y SINDROME URETRAL
N35	ESTRECHEZ URETRAL
N36	OTROS TRASTORNOS DE LA URETRA
N37*	TRASTORNOS URETRA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N39	OTROS TRASTORNOS DEL SISTEMA URINARIO
N40	HIPERPLASIA DE LA PROSTATA
N41	ENFERMEDADES INFLAMATORIAS DE LA PROSTATA
N42	OTROS TRASTORNOS DE LA PROSTATA
N43	HIDROCELE Y ESPERMATOCELE
N44	TORSION DEL TESTICULO
N45	ORQUITIS Y EPIDIDIMITIS
N46	ESTERILIDAD EN EL VARON
N47	PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS
N48	OTROS TRASTORNOS DEL PENE
N49	TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS NO CLASIFICADOS EN OTRA PARTE
N50	OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS
N51*	TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS OTRA PARTE
N60	DISPLASIA MAMARIA BENIGNA
N61	TRASTORNOS INFLAMATORIOS DE LA MAMA
N62	HIPERTROFIA DE LA MAMA
N63	MASA NO ESPECIFICADA EN LA MAMA
N64	OTROS TRASTORNOS DE LA MAMA
N70	SALPINGITIS Y OOFORITIS
N71	ENFERMEDADES INFLAMATORIAS DEL UTERO, EXCEPTO CUELLO
N72	ENFERMEDADES INFLAMATORIAS DEL CUELLO UTERINO
N73	OTRAS ENFERMEDADES PELVICAS INFLAMATORIAS FEMENINAS
N74*	TRASTORNOS INFLAMATORIOS DE LA PELVIS FEMENINA EN ENFERMEDADES CLASIFICADAS OTRA PARTE
N75	ENFERMEDADES DE LA GLANDULA DE BARTHOLIN
N76	OTRAS ENFERMEDADES INFLAMATORIAS DE LA VAGINA Y DE LA VULVA
N77*	ULCERACION E INFLAMACION VULVOVAGINAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N80	ENDOMETRIOSIS
N81	PROLAPSO GENITAL FEMENINO
N82	FISTULAS QUE AFECTAN EL TRACTO GENITAL FEMENINO
N83	TRASTORNOS NO INFLAMATORIOS DEL OVARIO, DE LA TROMPA DE FALOPIO Y DEL LIGAMENTO ANCHO
N84	POLIPO DEL TRACTO GENITAL FEMENINO
N85	OTROS TRASTORNOS NO INFLAMATORIOS DEL UTERO, EXCEPTO DEL CUELLO
N86	EROSION Y ECTROPION DEL CUELLO UTERINO
N87	DISPLASIA DEL CUELLO UTERINO
N88	OTROS TRASTORNOS NO INFLAMATORIA DEL CUELLO UTERINO
N89	OTROS TRASTORNOS NO INFLAMATORIOS DE LA VAGINA
N90	OTROS TRASTORNOS NO INFLAMATORIOS DE LA VULVA Y DEL PERINEO
N91	MENSTRUACION AUSENTE, ESCASA O RARA
N92	MENSTRUACION EXCESIVA, FRECUENTE E IRREGULAR
N93	OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES
N94	DOLOR Y OTRAS AFECCIONES RELACIONADAS CON LOS ORGANOS GENITALES FEMENINOS Y CON EL CICLO MENSTRUAL
N95	OTROS TRASTORNOS MENOPAUSICOS Y PERIMENOPAUSICOS
N96	ABORTADORA HABITUAL
N97	INFERTILIDAD FEMENINA
N98	COMPLICACION ASOCIADA CON LA FECUNDACION ARTIFICIAL
N99	TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
O00	EMBARAZO ECTOPICO
O01	MOLA HIDATIFORME
O02	OTROS PRODUCTOS ANORMALES DE LA CONCEPCION
O03	ABORTO ESPONTANEO
O04	ABORTO MEDICO
O05	OTRO ABORTO
O06	ABORTO NO ESPECIFICADO
O07	INTENTO FALLIDO DE ABORTO
O08	COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR
O10	HIPERTENSION PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO
O11	TRASTORNOS HIPERTENSIVOS PREEXISTENTES, CON PROTEINURIA AGREGADA
O12	EDEMA Y PROTEINURIA GESTACIONAL [INDUCIDOS POR ELEMBARAZO] SIN HIPERTENSION
O13	HIPERTENSION GESTACIONAL [INDUCIDA POR ELEMBARAZO] SIN PROTEINURIA SIGNIFICATIVA
O14	HIPERTENS GESTACIONAL [INDUCIDA POR ELEMBARAZO] CON PROTEINURIA SIGNIFICATIVA
O15	ECLAMPSIA
O16	HIPERTENSION MATERNA NO ESPECIFICADA
O20	HEMORRAGIA PRECOZ DEL EMBARAZO
O21	VOMITOS EXCESIVOS EN EL EMBARAZO
O22	COMPLICACIONES VENOSAS EN EL EMBARAZO
O23	INFECCIONESION DE LAS VIAS GENITOURINARIAS EN EL EMBARAZO
O24	DIABETES MELLITUS EN EL EMBARAZO
O25	DESNUTRICION EN EL EMBARAZO
O26	ATENCION MATERNA POR OTRAS COMPLICACIONES RELACIONADAS CON EL EMBARAZO
O28	HALLAZGOS ANORMALES EN EL EXAMEN PRENATAL DE LA MADRE
O29	COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL EMBARAZO
O30	EMBARAZO MULTIPLE
O31	COMPLICACION ESPECIFICAS DEL EMBARAZO MULTIPLE
O32	ATENCION MATERNA POR PRESENTACION ANORMAL FETO
O33	ATENCION MATERNA POR DESPROPORCION
O34	ATENCION MATERNA POR ANORMALIDADES CONOCIDAS O PRESUNTAS DE LOS ORGANOS PELVIANOS DE LA MADRE
O35	ATENCION MATERNA POR ANORMALIDAD O LESION FETAL, CONOCIDA O PRESUNTA
O36	ATENCION MATERNA POR OTROS PROBLEMAS FETALES, CONOCIDOS O PRESUNTOS
O40	POLIHIDRAMNIOS
O41	OTROS TRASTORNOS DEL LIQUIDO AMNIOTICO Y DE LAS MEMBRANAS
O42	RUPTURA PREMATURA DE LAS MEMBRANAS
O43	TRASTORNOS PLACENTARIOS
O44	PLACENTA PREVIA
O45	DESPRENDIMIENTO PREMATURO DE LA PLACENTA
O46	HEMORRAGIA ANTEPARTO NO CLASIFICADA EN OTRA PARTE
O47	FALSO TRABAJO DE PARTO
O48	EMBARAZO PROLONGADO
O60	PARTO PREMATURO
O61	FRACASO DE LA INDUCCION DEL TRABAJO DE PARTO
O62	ANORMALIDADES DE LA DINAMICA DEL TRABAJO DE PARTO
O63	TRABAJO DE PARTO PROLONGADO
O64	TRABAJO DE PARTO OBSTRUIDO DEBIDO MALA POSICION Y PRESENTACION ANORMAL DEL FETO
O65	TRABAJO DE PARTO OBSTRUIDO DEBIDO A ANORMALIDAD DE LA PELVIS MATERNA
O66	OTRAS OBSTRUCCIONES DEL TRABAJO DE PARTO
O67	TRABAJO DE PARTO Y PARTO COMPLICADOS POR HEMORRAGIA INTRAPARTO NO CLASIFICADOS EN OTRA PARTE
O68	TRABAJO DE PARTO Y PARTO COMPLICADOS POR SUFRIMIENTO FETAL
O69	TRABAJO DE PARTO Y PARTO COMPLICADOS POR PROBLEMAS DEL CORDON UMBILICAL
O70	DESGARRO PERINEAL DURANTE EL PARTO
O71	OTRO TRAUMA OBSTETRICO
O72	HEMORRAGIA POSTPARTO
O73	RETENCION DE LA PLACENTA O DE LAS MEMBRANAS, SIN HEMORRAGIA
O74	COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL TRABAJO DE PARTO Y EL PARTO
O75	OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO NO CLASIFICADAS EN OTRA PARTE
O80	PARTO UNICO ESPONTANEO
O81	PARTO UNICO CON FORCEPS Y VENTOSA EXTRACTORA
O82	PARTO UNICO POR CESAREA
O83	OTROS PARTOS UNICOS ASISTIDOS
O84	PARTO MULTIPLE
O85	SEPSIS PUERPERAL
O86	OTRAS INFECCIONES PUERPERALES
O87	COMPLICACIONES VENOSAS EN EL PUERPERIO
O88	EMBOLIA OBSTETRICA
O89	COMPLICACION DE LA ANESTESIA ADMINISTRADA DURANTE EL PUERPERIO
O90	COMPLICACIONES DEL PUERPERIO NO CLASIFICADAS EN OTRA PARTE
O91	INFECCIONES DE LA MAMA ASOCIADAS CON EL PARTO
O92	OTROS TRASTORNOS DE LA MAMA Y DE LA LACTANCIA ASOCIADOS CON EL PARTO
O93	MUERTE OBSTETRICA DE CAUSA NO ESPECIFICADA
O95	MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTETRICA QUE OCURRE DESPUES DE 42 DIAS PERO ANTES DE UN AÑO DEL PARTO
O96	MUERTE POR SECUELAS DE CAUSAS OBSTETRICAS DIRECTAS
O97	ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO
O98	OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO
O99	FETO Y RECIEN NACIDO AFECTADOS POR CONDICIONES DE LA MADRE NO NECESARIAMENTE RELACIONADAS CON EL EMBARAZO PRESENTE
P00	FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES MATERNAS DEL EMBARAZO
P01	FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES DE LA PLACENTA, DEL CORDON UMBILICAL Y DE LAS MEMBRANAS
P02	FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO
P03	FETO Y RECIEN NACIDO AFECTADOS POR INFLUENCIAS NOCIVAS TRANSMITIDAS A TRAVES DE LA PLACENTA O DE LA LECHE MATERNA
P04	RETARDO DEL CRECIMIENTO FETAL Y DESNUTRICION FETAL
P05	TRASTORNOS RELACIONADOS CON LA DURACION CORTA DE LA GESTACION Y CON BAJO PESO AL NACER, NO CLASIFICADOS EN OTRA PARTE
P07	TRASTORNOS RELACIONADOS CON EL EMBARAZO PROLONGADO Y CON SOBREPESO AL NACER
P08	HEMORRAGIA Y LACERACION INTRACRANEAL DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P10	OTROS TRAUMATISMOS DEL NACIMIENTO EN EL SISTEMA NERVIOSO CENTRAL
P11	TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO
P12	TRAUMATISMO DEL ESQUELETO DURANTE EL NACIMIENTO
P13	TRAUMATISMOS DEL SISTEMA NERVIOSO PERIFERICO DURANTE EL NACIMIENTO
P14	OTROS TRAUMATISMOS DEL NACIMIENTO
P15	HIPOXIA INTRAUTERINA
P20	ASFIXIA DEL NACIMIENTO
P21	DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P22	NEUMONIA CONGENITA
P23	SINDROMES DE ASPIRACION NEONATAL
P24	ENFISEMA INTERSTICIAL Y AFECCIONES RELACIONADAS, ORIGINADAS EN EL PERIODO PERINATAL
P25	HEMORRAGIA PULMONAR ORIGINADA EN EL PERIODO PERINATAL
P26	ENFERMEDADES RESPIRATORIAS CRONICAS ORIGINADAS EN EL PERIODO PERINATAL
P27	OTROS PROBLEMAS RESPIRATORIOS DEL RECIEN NACIDO ORIGINADOS EN EL PERIODO PERINATAL
P28	TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P29	ENFERMEDADES VIRALES CONGENITAS
P35	SEPSIS BACTERIANA DEL RECIEN NACIDO
P36	OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CONGENITAS
P37	ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P38	OTRAS INFECCIONES ESPECIFICADAS DEL PERIODO PERINATAL
P39	PERDIDA DE SANGRE FETAL
P50	HEMORRAGIA UMBILICAL DEL RECIEN NACIDO
P51	HEMORRAGIA INTRACRANEAL NO TRAUMATICA DEL FETO Y DEL RECIEN NACIDO
P52	ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P53	OTRAS HEMORRAGIAS NEONATALES
P54	ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO
P55	HIDROPESIA FETAL DEBIDA A ENFERMEDAD HEMOLITICA
P56	KERNICTERUS
P57	ICTERICIA NEONATAL DEBIDA A OTRAS HEMOLISIS EXCESIVAS
P58	ICTERICIA NEONATAL POR OTRAS CAUSAS Y POR LAS NO ESPECIFICADAS
P59	COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EN EL RECIEN NACIDO
P60	OTROS TRASTORNOS HEMATOLOGICOS PERINATALES
P61	TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS ESPECIFICOS DEL FETO Y DEL RECIEN NACIDO
P70	TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y DEL MAGNESIO
P71	OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS
P72	OTRAS ALTERACIONES METABOLICAS Y ELECTROLITICAS NEONATALES TRANSITORIAS
P74	ILEO MECONIAL (E84.1†)
P75*	OTRAS OBSTRUCCIONES INTESTINALES DEL RECIEN NACIDO
P76	ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P77	OTROS TRASTORNOS PERINATALES DEL SISTEMA DIGESTIVO
P78	HIPOTERMIA DEL RECIEN NACIDO
P80	OTRAS ALTERACIONES DE LA REGULACION DE LA TEMPERATURA DEL RECIEN NACIDO
P81	OTRAS AFECCIONES DE LA PIEL ESPECIFICAS DEL FETO Y DEL RECIEN NACIDO
P83	CONVULSIONES DEL RECIEN NACIDO
P90	OTRAS ALTERACIONES CEREBRALES DEL RECIEN NACIDO
P91	PROBLEMAS DE LA INGESTION DE ALIMENTOS DEL RECIEN NACIDO
P92	REACCIONES E INTOXICACIONES DEBIDAS A DROGAS ADMINISTRADAS AL FETO Y AL RECIEN NACIDO
P93	TRASTORNOS DEL TONO MUSCULAR EN EL RECIEN NACIDO
P94	MUERTE FETAL DE CAUSA NO ESPECIFICADA
P95	OTRAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
P96	ANENCEFALIA Y MALFORMACIONES CONGENITAS SIMILARES
Q00	ENCEFALOCELE
Q01	MICROCEFALIA
Q02	HIDROCEFALO CONGENITO
Q03	OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO
Q04	ESPINA BIFIDA
Q05	OTRAS MALFORMACIONES CONGENITAS DE LA MEDULA ESPINAL
Q06	OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO
Q07	MALFORMACIONES CONGENITAS DE LOS PARPADOS, DEL APARATO LAGRIMAL Y DE LA ORBITA
